Date,Avg Temperature (°C),Avg Humidity (%),Weather Description,Wind Speed (m/s)
2025-01-18,14.127500000000026,32.75,overcast clouds,1.8987500000000002
2025-01-19,14.807656250000013,37.421875,overcast clouds,2.101484375
2025-01-20,14.213046875000028,36.546875,overcast clouds,2.595625
2025-01-21,13.99156250000002,33.5234375,clear sky,2.65359375
2025-01-22,14.545234375000025,28.5078125,scattered clouds,2.703125
2025-01-23,19.64500000000003,34.5,light rain,2.195
